Helper,IMD,Sex,lessThan1,OneToFour,FiveToNine,TenToFourteen,FifteenToNineteen,TwentyToTwentyfour,TwentyfiveToTwentyNine,ThirtyToThirtyfour,ThirtyfiveToThirtynine,FourtyToFourtyfour,FourtyfiveToFourtynine,FiftyToFiftyfour,FiftyfiveToFiftyNine,SixtyToSixtyfour,SixtyfiveToSixtynine,SeventyToSeventyfour,SeventyfiveToSeventynine,EightyToEightyfour,EightyfiveToEightynine,Ninety
1Male,1,Male,1,1,1,1,1,2,2,3,4,5,7,10,13,18,26,34,47,62,79,100
1Female,1,Female,1,1,1,2,2,2,3,4,6,8,11,16,22,30,40,51,65,79,91,100
2Male,2,Male,1,1,1,1,1,1,2,2,3,4,5,8,11,15,22,30,41,57,76,100
2Female,2,Female,1,1,1,1,2,2,3,4,5,7,10,14,19,26,35,46,60,75,89,100
3Male,3,Male,1,1,1,1,1,1,1,2,2,3,4,6,9,13,19,27,38,54,74,100
3Female,3,Female,1,1,1,1,1,2,2,3,4,6,8,12,17,23,32,43,57,73,88,100
4Male,4,Male,0,1,1,1,1,1,1,1,2,3,4,6,8,12,18,25,36,52,72,100
4Female,4,Female,1,1,1,1,1,1,2,3,4,5,7,10,14,20,29,40,54,71,87,100
5Male,5,Male,0,0,0,1,1,1,1,1,2,2,3,5,7,11,16,24,34,50,71,100
5Female,5,Female,0,1,1,1,1,1,2,2,3,4,6,8,12,17,26,37,51,68,85,100
6Male,6,Male,0,0,0,0,1,1,1,1,1,2,3,5,7,10,15,23,33,48,69,100
6Female,6,Female,0,1,1,1,1,1,1,2,2,3,5,7,11,16,24,35,49,66,84,100
7Male,7,Male,0,0,0,0,0,1,1,1,1,2,3,4,6,9,15,22,32,48,68,100
7Female,7,Female,0,1,1,1,1,1,1,2,2,3,5,7,10,15,23,33,47,65,84,100
8Male,8,Male,0,0,0,0,1,1,1,1,1,2,3,4,6,9,14,21,31,46,68,100
8Female,8,Female,0,1,1,1,1,1,1,2,2,3,4,6,9,14,22,32,46,65,83,100
9Male,9,Male,0,0,0,0,0,1,1,1,1,2,2,4,6,9,14,21,31,46,67,100
9Female,9,Female,0,0,0,0,1,1,1,1,2,3,4,6,9,13,21,30,45,63,83,100
10Male,10,Male,0,0,0,0,0,1,1,1,1,1,2,4,6,9,14,20,30,46,68,100
10Female,10,Female,0,0,0,0,1,1,1,1,2,2,4,5,8,12,19,29,43,62,82,100
