,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cause,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
lessThan1,1,3,0,0,0,4,5,6,34,100,66,2,0,3,0,3,4,5,34,100,0,2,0,0,0,3,3,5,29,100,1,2,0,0,0,2,5,7,32,100,1,3,0,0,0,4,0,5,36,100,1,2,0,0,0,6,0,8,28,100,1,2,0,0,0,6,0,8,28,100,1,0,0,0,0,1,0,3,23,100,0,5,0,0,0,0,0,5,28,100,0,0,0,0,0,1,2,2,31,100,1,0,0,0,0,2,0,5,37,100,3,0,0,0,0,5,0,0,19,100,2,3,0,0,0,0,0,0,24,100,0,0,0,0,0,0,0,5,29,100,0,2,0,0,0,0,0,3,27,100,0,1,0,0,0,3,0,0,29,100,1,5,0,0,0,7,0,8,27,100,0,2,0,0,0,3,0,0,27,100,0,1,0,0,3,4,0,0,28,100,0,0,0,0,0,0,0,0,22,100
OneToFour,13,20,0,0,0,24,27,38,100,0,5,21,0,0,0,30,33,42,100,0,13,31,0,0,0,0,0,44,100,0,6,15,0,0,0,21,0,30,100,0,7,26,0,0,0,33,0,41,100,0,20,30,0,0,0,35,0,40,100,0,20,30,0,0,0,35,0,40,100,0,19,24,0,0,29,33,0,48,100,0,33,38,0,0,0,48,0,52,100,0,19,31,0,0,0,38,44,0,100,0,16,26,0,0,0,32,0,47,100,0,7,0,0,0,13,20,0,0,100,0,15,22,0,0,0,30,37,44,100,0,8,38,0,0,0,46,0,54,100,0,12,29,0,0,35,0,0,53,100,0,14,21,0,0,0,0,0,36,100,0,17,42,0,0,50,0,58,83,100,0,10,0,0,0,0,0,0,20,100,0,29,43,0,0,0,0,50,57,100,0,0,17,0,0,0,33,50,67,100,0
FiveToNine,14,24,0,0,0,0,0,33,100,0,14,23,0,0,0,27,32,45,100,0,35,45,0,0,0,0,0,58,100,0,20,33,0,0,40,0,0,53,100,0,26,42,0,0,0,0,47,53,100,0,22,44,0,0,0,0,0,56,100,0,22,44,0,0,0,0,0,56,100,0,30,0,0,0,0,40,50,0,100,0,25,42,0,0,0,0,0,67,100,0,7,27,0,0,0,33,0,53,100,0,13,25,0,0,0,0,38,63,100,0,33,42,0,0,50,0,58,67,100,0,50,0,0,0,0,60,70,80,100,0,33,42,0,0,0,0,0,0,100,0,33,44,0,0,0,0,0,0,100,0,25,42,0,0,0,50,0,67,100,0,25,0,0,0,0,0,38,50,100,0,63,88,0,0,0,0,0,100,0,0,80,0,0,0,0,100,0,0,0,0,11,0,0,0,44,0,56,0,100,0
TenToFourteen,25,36,0,0,0,43,46,61,100,0,11,16,0,0,0,21,0,32,100,0,11,22,0,0,28,0,33,56,100,0,20,40,0,0,47,0,0,53,100,0,24,29,0,0,0,41,47,65,100,0,7,13,0,0,0,27,40,53,100,0,7,13,0,0,0,27,40,53,100,0,14,21,0,0,0,36,0,50,100,0,36,43,0,0,0,0,57,71,100,0,27,53,0,0,0,0,0,80,100,0,22,33,0,0,0,0,44,56,100,0,18,36,0,0,0,0,0,45,100,0,29,36,0,0,0,0,43,64,100,0,29,43,0,0,0,0,0,0,100,0,38,0,0,0,0,0,0,0,100,0,30,60,0,0,0,0,0,70,100,0,19,0,0,0,0,25,38,63,100,0,11,0,0,0,0,0,0,22,100,0,23,38,0,0,46,54,0,69,100,0,33,42,0,0,0,0,58,67,100,0
FifteenToNineteen,11,17,0,18,20,22,37,63,100,0,12,20,22,0,0,27,34,51,100,0,12,16,0,0,17,21,40,59,100,0,15,27,0,0,0,0,46,58,100,0,17,0,0,0,21,25,44,67,100,0,15,19,0,0,22,26,37,56,100,0,15,19,0,0,22,26,37,56,100,0,12,0,0,0,0,15,40,65,100,0,26,31,0,0,34,37,51,66,100,0,9,0,11,0,13,14,36,61,100,0,10,17,0,0,0,21,38,59,100,0,6,12,0,0,15,21,38,56,100,0,10,12,0,0,0,21,50,76,100,0,29,0,0,0,0,0,50,71,100,0,16,19,21,0,23,30,44,63,100,0,20,0,24,0,0,28,40,56,100,0,17,22,0,0,24,27,49,71,100,0,20,27,0,0,0,33,53,73,100,0,9,12,0,0,15,0,44,71,100,0,15,0,0,0,0,0,31,46,100,0
TwentyToTwentyfour,5,9,0,11,0,18,41,60,100,0,18,27,29,0,32,36,48,55,100,0,6,9,10,0,12,16,38,60,100,0,8,10,0,13,18,21,51,59,100,0,13,14,15,16,16,21,47,64,100,0,35,38,0,0,40,53,65,73,100,0,35,38,0,0,40,53,65,73,100,0,9,10,0,0,11,13,41,75,100,0,21,26,0,0,28,31,44,62,100,0,9,11,12,15,16,20,43,71,100,0,17,21,0,0,23,31,44,63,100,0,16,23,0,0,0,26,39,61,100,0,5,8,11,0,12,22,43,77,100,0,4,15,19,0,22,30,41,59,100,0,12,0,13,15,0,0,40,68,100,0,9,13,16,0,19,0,31,56,100,0,5,6,8,0,0,16,48,73,100,0,14,24,0,0,29,38,48,71,100,0,15,17,19,0,20,26,48,72,100,0,26,0,30,0,0,0,43,57,100,0
TwentyfiveToTwentyNine,6,8,10,12,13,18,44,65,100,0,19,20,22,24,27,32,51,60,100,0,10,13,15,18,20,25,42,59,100,0,21,25,0,26,28,31,47,60,100,0,7,9,10,11,13,17,37,56,100,0,16,22,0,0,0,33,50,57,100,0,16,22,0,0,0,33,50,57,100,0,15,17,18,19,21,27,46,64,100,0,35,38,0,0,40,45,57,71,100,0,15,16,0,18,0,21,38,57,100,0,30,36,0,38,40,48,56,72,100,0,36,39,0,0,0,43,64,73,100,0,19,22,0,23,27,31,53,70,100,0,26,32,0,0,0,35,47,68,100,0,16,21,0,0,23,24,45,58,100,0,23,28,0,0,30,40,51,63,100,0,14,16,0,18,20,26,56,76,100,0,25,29,32,0,36,39,54,61,100,0,13,15,0,19,21,30,40,68,100,0,39,0,0,0,0,50,56,61,100,0
ThirtyToThirtyfour,10,14,16,19,20,27,40,52,100,0,20,21,22,25,27,37,49,56,100,0,8,11,12,18,19,25,38,52,100,0,22,25,26,29,33,38,46,56,100,0,12,15,17,20,0,26,44,57,100,0,34,43,44,0,47,53,62,68,100,0,34,43,44,0,47,53,62,68,100,0,10,15,16,16,18,24,42,58,100,0,27,30,31,32,35,39,49,61,100,0,16,19,20,22,25,30,46,64,100,0,36,0,0,38,48,56,67,75,100,0,37,41,42,46,48,54,68,75,100,0,15,16,0,20,22,27,47,64,100,0,43,0,0,0,0,50,52,57,100,0,21,22,0,25,27,28,49,59,100,0,37,39,40,0,44,46,56,67,100,0,19,22,0,26,27,36,55,67,100,0,30,35,40,0,44,56,67,74,100,0,12,20,0,0,0,29,57,65,100,0,47,51,53,0,56,60,74,84,100,0
ThirtyfiveToThirtynine,12,15,18,26,28,33,42,52,100,0,23,29,31,34,38,45,53,59,100,0,14,18,19,25,28,33,43,50,100,0,28,34,35,39,40,44,46,55,100,0,14,18,19,24,27,35,48,59,100,0,29,36,37,41,45,54,61,68,100,0,29,36,37,41,45,54,61,68,100,0,12,14,15,19,21,27,43,51,100,0,34,35,40,41,44,55,63,72,100,0,16,20,22,27,28,32,49,63,100,0,48,49,0,50,54,56,62,66,100,0,45,51,0,54,56,57,65,71,100,0,21,0,0,27,28,30,51,63,100,0,47,51,52,54,59,64,69,72,100,0,22,23,24,27,30,38,57,69,100,0,50,55,58,0,63,65,77,83,100,0,19,20,22,28,29,33,44,57,100,0,55,0,0,56,0,58,64,70,100,0,30,37,40,42,0,47,69,78,100,0,62,65,67,71,0,73,76,80,100,0
FourtyToFourtyfour,13,19,20,30,32,39,49,58,100,0,32,37,38,43,45,54,55,60,100,0,13,17,18,27,31,37,48,55,100,0,35,43,44,51,54,61,65,70,100,0,15,19,21,30,33,42,54,64,100,0,37,42,43,49,56,61,65,70,100,0,37,42,43,49,56,61,65,70,100,0,15,20,21,32,34,40,51,58,100,0,35,38,39,43,46,51,59,63,100,0,24,28,29,39,40,44,56,64,100,0,39,41,43,46,50,55,59,64,100,0,38,42,44,46,52,58,63,69,100,0,27,30,31,39,43,51,62,73,100,0,46,51,52,54,57,63,68,73,100,0,23,24,24,35,36,44,59,68,100,0,50,53,54,56,58,60,69,72,100,0,19,23,0,30,35,45,64,77,100,0,54,57,0,59,62,66,74,80,100,0,25,27,0,38,41,45,57,65,100,0,51,52,53,56,61,66,70,72,100,0
