Help,Deprivation Decile (WIMD 2014),Sex,Age,01 Neoplasms,02 Diseases of the respiratory system,03 Diabetes,04 Ischaemic heart disease,05 Stroke (cerebrovascular),06 Other circulatory,07 Intentional injuries,08 Unintentional injuries,09 All other causes,10 Neonatal
1Male,1,Male,lessThan1,1,3,0,0,3,4,5,6,34,100
1Male,1,Male,OneToFour,13,20,0,0,0,24,27,38,100,0
1Male,1,Male,FiveToNine,14,24,0,0,0,0,0,33,100,0
1Male,1,Male,TenToFourteen,25,36,0,0,0,43,46,61,100,0
1Male,1,Male,FifteenToNineteen,11,17,0,18,20,22,37,63,100,0
1Male,1,Male,TwentyToTwentyfour,5,9,0,11,0,18,41,60,100,0
1Male,1,Male,TwentyfiveToTwentyNine,6,8,10,12,13,18,44,65,100,0
1Male,1,Male,ThirtyToThirtyfour,10,14,16,19,20,27,40,52,100,0
1Male,1,Male,ThirtyfiveToThirtynine,12,15,18,26,28,33,42,52,100,0
1Male,1,Male,FourtyToFourtyfour,13,19,20,30,32,39,49,58,100,0
1Male,1,Male,FourtyfiveToFourtynine,20,25,27,42,45,51,58,64,100,0
1Male,1,Male,FiftyToFiftyfour,25,34,35,53,57,64,68,71,100,0
1Male,1,Male,FiftyfiveToFiftyNine,32,42,44,61,65,71,73,77,100,0
1Male,1,Male,SixtyToSixtyfour,36,49,50,69,73,79,81,83,100,0
1Male,1,Male,SixtyfiveToSixtynine,38,52,53,71,77,83,84,85,100,0
1Male,1,Male,SeventyToSeventyfour,37,53,54,71,76,83,83,85,100,0
1Male,1,Male,SeventyfiveToSeventynine,33,51,52,68,74,81,81,83,100,0
1Male,1,Male,EightyToEightyfour,28,45,47,62,69,75,75,77,100,0
1Male,1,Male,EightyfiveToEightynine,22,41,43,57,64,70,71,73,100,0
1Male,1,Male,Ninety,17,39,40,51,57,64,64,66,100,0
1Female,1,Female,lessThan1,66,2,0,3,0,3,4,5,34,100
1Female,1,Female,OneToFour,5,21,0,0,0,30,33,42,100,0
1Female,1,Female,FiveToNine,14,23,0,0,0,27,32,45,100,0
1Female,1,Female,TenToFourteen,11,16,0,0,0,21,0,32,100,0
1Female,1,Female,FifteenToNineteen,12,20,22,0,0,27,34,51,100,0
1Female,1,Female,TwentyToTwentyfour,18,27,29,0,32,36,48,55,100,0
1Female,1,Female,TwentyfiveToTwentyNine,19,20,22,24,27,32,51,60,100,0
1Female,1,Female,ThirtyToThirtyfour,20,21,22,25,27,37,49,56,100,0
1Female,1,Female,ThirtyfiveToThirtynine,23,29,31,34,38,45,53,59,100,0
1Female,1,Female,FourtyToFourtyfour,32,37,38,43,45,54,55,60,100,0
1Female,1,Female,FourtyfiveToFourtynine,33,41,41,49,55,62,65,68,100,0
1Female,1,Female,FiftyToFiftyfour,41,52,53,61,66,70,71,73,100,0
1Female,1,Female,FiftyfiveToFiftyNine,43,56,57,67,72,77,78,79,100,0
1Female,1,Female,SixtyToSixtyfour,44,60,61,73,77,83,83,84,100,0
1Female,1,Female,SixtyfiveToSixtynine,42,60,61,70,75,81,81,83,100,0
1Female,1,Female,SeventyToSeventyfour,37,57,58,68,73,81,81,82,100,0
1Female,1,Female,SeventyfiveToSeventynine,32,49,51,63,70,77,77,79,100,0
1Female,1,Female,EightyToEightyfour,24,41,43,54,61,69,0,71,100,0
1Female,1,Female,EightyfiveToEightynine,17,34,35,46,54,62,0,64,100,0
1Female,1,Female,Ninety,9,27,27,37,45,54,54,56,100,0
2Male,2,Male,lessThan1,0,2,0,0,0,3,3,5,29,100
2Male,2,Male,OneToFour,13,31,0,0,0,0,0,44,100,0
2Male,2,Male,FiveToNine,35,45,0,0,0,0,0,58,100,0
2Male,2,Male,TenToFourteen,11,22,0,0,28,0,33,56,100,0
2Male,2,Male,FifteenToNineteen,12,16,0,0,17,21,40,59,100,0
2Male,2,Male,TwentyToTwentyfour,6,9,10,0,12,16,38,60,100,0
2Male,2,Male,TwentyfiveToTwentyNine,10,13,15,18,20,25,42,59,100,0
2Male,2,Male,ThirtyToThirtyfour,8,11,12,18,19,25,38,52,100,0
2Male,2,Male,ThirtyfiveToThirtynine,14,18,19,25,28,33,43,50,100,0
2Male,2,Male,FourtyToFourtyfour,13,17,18,27,31,37,48,55,100,0
2Male,2,Male,FourtyfiveToFourtynine,21,26,28,43,45,53,60,64,100,0
2Male,2,Male,FiftyToFiftyfour,28,35,36,53,57,64,68,71,100,0
2Male,2,Male,FiftyfiveToFiftyNine,37,44,45,63,67,73,76,78,100,0
2Male,2,Male,SixtyToSixtyfour,38,49,50,69,72,78,80,82,100,0
2Male,2,Male,SixtyfiveToSixtynine,40,55,56,73,77,83,84,86,100,0
2Male,2,Male,SeventyToSeventyfour,37,53,55,73,77,84,85,86,100,0
2Male,2,Male,SeventyfiveToSeventynine,33,50,52,67,73,80,80,82,100,0
2Male,2,Male,EightyToEightyfour,29,46,48,62,68,75,75,77,100,0
2Male,2,Male,EightyfiveToEightynine,23,41,43,55,63,69,69,72,100,0
2Male,2,Male,Ninety,15,37,38,49,57,64,64,66,100,0
2Female,2,Female,lessThan1,1,2,0,0,0,2,5,7,32,100
2Female,2,Female,OneToFour,6,15,0,0,0,21,0,30,100,0
2Female,2,Female,FiveToNine,20,33,0,0,40,0,0,53,100,0
2Female,2,Female,TenToFourteen,20,40,0,0,47,0,0,53,100,0
2Female,2,Female,FifteenToNineteen,15,27,0,0,0,0,46,58,100,0
2Female,2,Female,TwentyToTwentyfour,8,10,0,13,18,21,51,59,100,0
2Female,2,Female,TwentyfiveToTwentyNine,21,25,0,26,28,31,47,60,100,0
2Female,2,Female,ThirtyToThirtyfour,22,25,26,29,33,38,46,56,100,0
2Female,2,Female,ThirtyfiveToThirtynine,28,34,35,39,40,44,46,55,100,0
