AgeRange,Occupation,PercentageAdded,ThousandEmployed,MedianAnnualWage,Percentage
18-21,Professional occupations,1,3,15607,2.127659574
18-21,Business and public service associate professionals,7,12,16839,8.510638298
18-21,Administrative and secretarial occupations,20,28,15348,19.85815603
18-21,Administrative occupations,30,23,15735,16.31205674
18-21,"Caring, leisure and other service occupations",49,41,12830,29.07801418
18-21,Caring personal service occupations,64,33,13029,23.40425532
18-21,Sales and customer service occupations,73,19,13618,13.4751773
18-21,Sales occupations,79,14,12953,9.929078014
18-21,"Process, plant and machine operatives",80,2,13663,1.418439716
18-21,Elementary occupations,90,23,11668,16.31205674
18-21,Elementary administration and service occupations,100,21,11570,14.89361702
22-29,"Managers, directors and senior officials",3,66,25334,5.972850679
22-29,Corporate managers and directors,5,49,26563,4.43438914
22-29,Other managers and proprietors,6,18,22407,1.628959276
22-29,Professional occupations,20,287,27927,25.97285068
22-29,"Science, research, engineering and technology professionals",21,30,28424,2.714932127
22-29,Health professionals,26,100,27639,9.049773756
22-29,Teaching and educational professionals,30,86,26989,7.78280543
22-29,"Business, media and public service professionals",33,70,30000,6.334841629
22-29,Associate professional and technical occupations,43,197,25140,17.8280543
22-29,"Science, engineering and technology associate professionals",44,24,22302,2.171945701
22-29,Health and social care associate professionals,45,17,21821,1.538461538
22-29,Protective service occupations,45,12,29952,1.085972851
22-29,Business and public service associate professionals,51,132,26445,11.94570136
22-29,Administrative and secretarial occupations,60,183,19702,16.56108597
22-29,Administrative occupations,67,147,20047,13.30316742
22-29,Secretarial and related occupations,69,36,18021,3.257918552
22-29,Skilled trades occupations,69,17,20775,1.538461538
22-29,"Textiles, printing and other skilled trades",70,11,18514,0.9954751131
22-29,"Caring, leisure and other service occupations",78,169,15712,15.29411765
22-29,Caring personal service occupations,85,141,15582,12.760181
22-29,"Leisure, travel and related personal service occupations",86,27,16507,2.443438914
22-29,Sales and customer service occupations,91,107,17421,9.683257919
22-29,Sales occupations,94,65,16739,5.882352941
22-29,Customer service occupations,96,42,18139,3.800904977
22-29,"Process, plant and machine operatives",97,20,17096,1.809954751
22-29,"Process, plant and machine operatives",98,17,16841,1.538461538
22-29,Elementary administration and service occupations,100,50,15124,4.524886878
30-39,"Managers, directors and senior officials",5,158,37030,10.62542031
30-39,Corporate managers and directors,10,129,40061,8.675184936
30-39,Other managers and proprietors,11,29,26526,1.950235373
30-39,Professional occupations,27,482,34725,32.41425689
30-39,"Science, research, engineering and technology professionals",29,54,35401,3.631472764
30-39,Health professionals,34,146,32105,9.818426362
30-39,Teaching and educational professionals,39,157,35578,10.55817081
30-39,"Business, media and public service professionals",43,125,35435,8.406186954
30-39,Associate professional and technical occupations,54,304,29800,20.44384667
30-39,"Science, engineering and technology associate professionals",55,29,25954,1.950235373
30-39,Health and social care associate professionals,56,33,23728,2.219233356
30-39,Protective service occupations,57,34,33870,2.286482851
30-39,"Culture, media and sports occupations",57,16,27295,1.07599193
30-39,Business and public service associate professionals,64,192,31362,12.91190316
30-39,Administrative and secretarial occupations,71,217,22036,14.59314055
30-39,Administrative occupations,77,178,22063,11.97041022
30-39,Secretarial and related occupations,78,39,21792,2.62273033
30-39,Skilled trades occupations,79,25,18674,1.681237391
30-39,"Textiles, printing and other skilled trades",80,17,17751,1.143241426
30-39,"Caring, leisure and other service occupations",84,136,17506,9.145931406
30-39,Caring personal service occupations,88,117,17289,7.868190989
30-39,"Leisure, travel and related personal service occupations",89,19,19052,1.277740417
30-39,Sales and customer service occupations,92,81,18848,5.447209146
30-39,Sales occupations,93,43,16973,2.891728312
30-39,Customer service occupations,95,39,21137,2.62273033
30-39,"Process, plant and machine operatives",95,26,19009,1.748486886
30-39,"Process, plant and machine operatives",96,20,18108,1.344989913
30-39,Elementary occupations,98,57,15778,3.833221251
30-39,Elementary trades and related occupations,98,9,16366,0.6052454607
30-39,Elementary administration and service occupations,100,48,15741,3.22797579
40-49,"Managers, directors and senior officials",6,187,40506,11.55033972
40-49,Corporate managers and directors,11,151,44494,9.326744904
40-49,Other managers and proprietors,12,36,29959,2.223594812
40-49,Professional occupations,26,439,37054,27.1155034
40-49,"Science, research, engineering and technology professionals",27,43,39034,2.655960469
40-49,Health professionals,32,166,34880,10.25324274
40-49,Teaching and educational professionals,37,144,37871,8.894379246
40-49,"Business, media and public service professionals",39,86,38005,5.311920939
40-49,Associate professional and technical occupations,48,275,30279,16.9857937
40-49,Health and social care associate professionals,49,39,24750,2.408894379
40-49,Protective service occupations,50,31,37916,1.914762199
40-49,Business and public service associate professionals,56,173,31386,10.6856084
40-49,Administrative and secretarial occupations,65,299,22142,18.46819024
40-49,Administrative occupations,72,229,22244,14.14453366
40-49,Secretarial and related occupations,74,70,21504,4.323656578
40-49,Skilled trades occupations,75,29,18605,1.791229154
40-49,"Textiles, printing and other skilled trades",76,22,17572,1.358863496
40-49,"Caring, leisure and other service occupations",82,196,17287,12.10623842
40-49,Caring personal service occupations,88,179,17199,11.05620754
40-49,"Leisure, travel and related personal service occupations",88,17,18077,1.050030883
40-49,Sales and customer service occupations,91,88,18055,5.435453984
40-49,Sales occupations,93,54,15918,3.335392217
40-49,Customer service occupations,94,34,21028,2.100061767
40-49,"Process, plant and machine operatives",95,34,18387,2.100061767
40-49,"Process, plant and machine operatives",96,28,17981,1.729462631
40-49,Transport and mobile machine drivers and operatives,96,6,20690,0.3705991353
40-49,Elementary occupations,98,72,15507,4.447189623
40-49,Elementary administration and service occupations,100,59,15250,3.64422483
50-59,"Managers, directors and senior officials",6,179,37061,11.41581633
