AgeRange,Occupation,ThousandEmployed,MedianAnnualWage,Percentage,PercentageAdded
18-21,Professional occupations,3,15607,2.127659574,1
18-21,Business and public service associate professionals,12,16839,8.510638298,7
18-21,Administrative and secretarial occupations,28,15348,19.85815603,20
18-21,Administrative occupations,23,15735,16.31205674,30
18-21,"Caring, leisure and other service occupations",41,12830,29.07801418,49
18-21,Caring personal service occupations,33,13029,23.40425532,64
18-21,Sales and customer service occupations,19,13618,13.4751773,73
18-21,Sales occupations,14,12953,9.929078014,79
18-21,"Process, plant and machine operatives",2,13663,1.418439716,80
18-21,Elementary occupations,23,11668,16.31205674,90
18-21,Elementary administration and service occupations,21,11570,14.89361702,100
22-29,"Managers, directors and senior officials",66,25334,5.972850679,3
22-29,Corporate managers and directors,49,26563,4.43438914,5
22-29,Other managers and proprietors,18,22407,1.628959276,6
22-29,Professional occupations,287,27927,25.97285068,20
22-29,"Science, research, engineering and technology professionals",30,28424,2.714932127,21
22-29,Health professionals,100,27639,9.049773756,26
22-29,Teaching and educational professionals,86,26989,7.78280543,30
22-29,"Business, media and public service professionals",70,30000,6.334841629,33
22-29,Associate professional and technical occupations,197,25140,17.8280543,43
22-29,"Science, engineering and technology associate professionals",24,22302,2.171945701,44
22-29,Health and social care associate professionals,17,21821,1.538461538,45
22-29,Protective service occupations,12,29952,1.085972851,45
22-29,Business and public service associate professionals,132,26445,11.94570136,51
22-29,Administrative and secretarial occupations,183,19702,16.56108597,60
22-29,Administrative occupations,147,20047,13.30316742,67
22-29,Secretarial and related occupations,36,18021,3.257918552,69
22-29,Skilled trades occupations,17,20775,1.538461538,69
22-29,"Textiles, printing and other skilled trades",11,18514,0.9954751131,70
22-29,"Caring, leisure and other service occupations",169,15712,15.29411765,78
22-29,Caring personal service occupations,141,15582,12.760181,85
22-29,"Leisure, travel and related personal service occupations",27,16507,2.443438914,86
22-29,Sales and customer service occupations,107,17421,9.683257919,91
22-29,Sales occupations,65,16739,5.882352941,94
22-29,Customer service occupations,42,18139,3.800904977,96
22-29,"Process, plant and machine operatives",20,17096,1.809954751,97
22-29,"Process, plant and machine operatives",17,16841,1.538461538,98
22-29,Elementary administration and service occupations,50,15124,4.524886878,100
30-39,"Managers, directors and senior officials",158,37030,10.62542031,5
