LACode,LAName,Detached,SemiDetached,Terraced,Flat
E06000047,County Durham,"184,950","112,500","74,000","80,000"
E06000005,Darlington,"215,000","128,250","79,000","84,950"
E06000001,Hartlepool,"182,500","125,000","70,000","67,500"
E06000002,Middlesbrough,"230,000","125,000","69,000","64,000"
E06000057,Northumberland,"242,975","140,894","111,975","84,950"
E06000003,Redcar and Cleveland,"199,950","125,000","82,000","67,750"
E06000004,Stockton-on-Tees,"205,000","124,000","90,000","85,455"
E08000037,Gateshead,"225,000","140,000","122,000","86,250"
E08000021,Newcastle upon Tyne,"265,000","155,000","145,500","124,000"
E08000022,North Tyneside,"252,500","160,000","150,000","90,000"
E08000023,South Tyneside,"222,998","137,500","111,250","72,500"
E08000024,Sunderland,"208,995","125,000","90,000","70,000"
E06000008,Blackburn with Darwen,"180,000","120,000","75,250","79,975"
E06000009,Blackpool,"174,750","118,500","82,875","63,000"
E06000049,Cheshire East,"298,950","169,000","137,000","125,000"
E06000050,Cheshire West and Chester,"279,000","165,000","143,250","129,000"
E06000006,Halton,"225,000","129,725","83,000","82,000"
E06000007,Warrington,"268,950","156,000","125,000","99,000"
E07000026,Allerdale,"217,500","140,000","102,125","135,000"
E07000027,Barrow-in-Furness,"217,500","150,000","82,500","58,500"
E07000028,Carlisle,"230,000","132,250","97,000","80,000"
E07000029,Copeland,"218,975","120,000","83,750","88,000"
E07000030,Eden,"262,000","170,000","140,000","138,500"
E07000031,South Lakeland,"310,000","196,750","171,500","142,500"
E08000001,Bolton,"225,000","128,000","85,000","90,000"
E08000002,Bury,"235,000","150,000","113,000","85,750"
E08000003,Manchester,"197,000","158,750","120,000","145,000"
E08000004,Oldham,"215,000","133,500","87,000","103,475"
E08000005,Rochdale,"199,995","130,000","87,000","69,500"
E08000006,Salford,"220,000","145,000","105,000","122,500"
E08000007,Stockport,"322,000","190,000","134,500","110,000"
E08000008,Tameside,"205,000","135,000","98,000","83,000"
E08000009,Trafford,"400,000","235,000","190,000","135,000"
