Code,Difference
E06000005,-8.64
E06000001,-5.36
E06000002,-11.30
E06000003,-9.64
E06000004,-3.92
E06000047,-10.64
E06000057,-9.31
E11000007,-8.65
E08000037,-9.82
E08000021,-4.58
E08000022,-6.99
E08000023,-11.63
E08000024,-10.97
E06000008,-22.29
E06000009,-24.13
E06000006,-9.82
E06000007,1.86
E06000049,0.55
E06000050,3.13
E10000006,-5.95
E07000026,-4.93
E07000027,-6.20
E07000028,-16.99
E07000029,44.46
E07000030,-14.23
E07000031,-5.74
E11000001,-7.98
E08000001,-14.12
E08000002,-0.99
E08000003,-10.19
E08000004,-17.46
E08000005,-13.66
E08000006,-12.15
E08000007,-0.70
E08000008,-15.20
E08000009,11.56
E08000010,-5.43
E10000017,-8.53
E07000117,-18.85
E07000118,-6.76
E07000119,-9.99
E07000120,-19.04
E07000121,-4.76
E07000122,-10.28
E07000123,-16.16
E07000124,-0.12
E07000125,-12.28
E07000126,-7.09
E07000127,-5.74
E07000128,-1.54
E11000002,-6.53
E08000011,-13.18
E08000012,-7.15
E08000013,-5.19
E08000014,-11.28
E08000015,1.49
E06000011,-5.00
E06000010,-18.06
E06000012,-9.31
E06000013,2.65
E06000014,-7.48
E10000023,-4.71
E07000163,-14.73
E07000164,-9.31
E07000165,-2.29
E07000166,-3.74
E07000167,-18.16
E07000168,-4.20
E07000169,-9.31
E11000003,-9.67
E08000016,-7.59
E08000017,-13.54
E08000018,-9.71
E08000019,-8.70
E11000006,-9.53
E08000032,-15.27
E08000033,-8.11
E08000034,-9.73
E08000035,-4.91
E08000036,-14.92
E06000015,2.12
E06000016,-22.66
E06000018,-18.46
E06000017,3.24
E10000007,-6.16
E07000032,-3.61
E07000033,-18.71
E07000034,-7.08
E07000035,-3.21
E07000036,-5.28
E07000037,-7.93
E07000038,-2.46
E07000039,-3.72
E10000018,-3.87
E07000129,-0.82
E07000130,-0.39
E07000131,-7.53
E07000132,-8.46
E07000133,-7.53
E07000134,-7.85
E07000135,-23.60
E10000019,-12.50
E07000136,-26.42
E07000137,-7.53
E07000138,-17.03
E07000139,-4.27
E07000140,-13.88
E07000141,-10.11
E07000142,-9.58
E10000021,-2.79
E07000150,-13.17
E07000151,1.89
E07000152,6.51
E07000153,-6.49
E07000154,-7.90
E07000155,11.76
E07000156,-8.63
E10000024,-5.95
E07000170,-13.61
E07000171,-8.96
E07000172,5.34
E07000173,-3.61
E07000174,-16.96
E07000175,-7.53
E07000176,15.44
E06000019,-18.39
E06000021,-19.73
E06000020,-9.65
E06000051,-7.69
E10000028,-5.16
E07000192,-3.94
E07000193,-9.28
E07000194,-7.57
E07000195,-11.02
E07000196,2.33
E07000197,1.47
E07000198,-2.69
E07000199,-14.09
E10000031,2.68
E07000218,-4.93
E07000219,-8.51
E07000220,10.47
E07000221,2.95
E07000222,9.01
E11000005,-8.83
E08000025,-9.55
E08000026,-2.82
E08000027,-7.43
E08000028,-16.98
E08000029,15.51
E08000030,-13.56
E08000031,-16.60
E10000034,-4.47
E07000234,-7.57
E07000235,-5.84
E07000236,-23.49
E07000237,-1.61
E07000238,-1.39
E07000239,-7.39
E06000032,-5.29
E06000031,5.65
E06000033,2.53
E06000034,8.88
E06000055,1.22
E06000056,11.12
E10000003,6.56
E07000008,13.19
E07000009,6.23
E07000010,-10.71
E07000011,4.90
E07000012,13.99
E10000012,9.53
E07000066,5.50
E07000067,5.65
E07000068,43.94
E07000069,5.65
E07000070,14.88
E07000071,2.97
E07000072,23.15
E07000073,5.65
E07000074,20.57
E07000075,5.65
E07000076,-8.18
E07000077,16.21
E10000015,17.12
E07000095,15.55
E07000096,14.92
E07000242,19.21
E07000098,3.80
E07000099,24.32
E07000240,35.37
E07000243,3.34
E07000102,15.89
E07000103,15.50
E07000241,8.69
E10000020,-9.31
E07000143,-15.47
E07000144,-4.20
E07000145,-14.48
E07000146,-9.25
E07000147,-13.69
E07000148,-14.00
E07000149,6.11
E10000029,-3.43
E07000200,0.23
E07000201,5.65
E07000202,-6.13
E07000203,6.48
E07000204,-4.02
E07000205,11.00
E07000206,-12.19
E13000001,25.11
E09000007,43.56
E09000001,19.56
E09000012,16.11
E09000013,36.70
E09000014,11.36
E09000019,27.98
E09000020,19.56
E09000022,20.10
E09000023,15.51
E09000025,-1.98
E09000028,22.49
E09000030,24.45
E09000032,42.84
E09000033,54.67
E13000002,16.76
E09000002,2.95
E09000003,19.42
E09000004,15.51
E09000005,7.52
E09000006,32.71
E09000008,18.60
E09000009,4.52
E09000010,11.66
E09000011,13.37
E09000015,17.95
E09000016,15.78
E09000017,18.47
E09000018,5.89
E09000021,32.81
E09000024,19.65
E09000026,29.08
E09000027,42.76
E09000029,13.43
E09000031,7.19
E06000036,13.75
E06000043,2.17
E06000046,-8.09
E06000035,5.58
E06000042,0.04
E06000044,-4.21
E06000038,5.36
E06000039,2.50
E06000045,-7.08
E06000037,15.56
E06000040,34.25
E06000041,35.36
E10000002,16.79
E07000004,7.66
E07000005,36.76
E07000006,22.79
E07000007,16.35
E10000011,-0.75
E07000061,-1.69
E07000062,-11.93
E07000063,4.15
E07000064,-6.39
E07000065,9.85
E10000014,9.73
E07000084,14.34
E07000085,6.56
E07000086,7.59
E07000087,9.06
E07000088,-1.16
E07000089,31.19
E07000090,0.26
E07000091,1.08
E07000092,1.44
E07000093,12.86
E07000094,8.60
E10000016,7.20
E07000105,0.69
E07000106,16.03
E07000107,5.24
E07000108,8.60
E07000109,3.68
E07000110,7.77
E07000111,10.96
E07000112,1.91
E07000113,6.95
E07000114,-18.05
E07000115,26.37
E07000116,26.87
E10000025,11.73
E07000177,5.28
E07000178,10.17
E07000179,15.13
E07000180,15.68
E07000181,15.01
E10000030,24.16
E07000207,38.64
E07000208,26.79
E07000209,23.27
E07000210,12.02
E07000211,26.45
E07000212,14.62
E07000213,23.01
E07000214,23.44
E07000215,14.23
E07000216,35.86
E07000217,12.04
E10000032,3.09
E07000223,-8.90
E07000224,-9.93
E07000225,1.05
E07000226,2.46
E07000227,8.60
E07000228,14.61
E07000229,-3.76
E06000022,1.65
E06000028,-3.98
E06000023,-1.40
E06000024,6.47
E06000026,-9.70
E06000029,-1.10
E06000025,4.83
E06000030,1.55
E06000027,-19.19
E06000052,-15.86
E06000053,-4.32
E10000008,-10.67
E07000040,-7.61
E07000041,-11.88
E07000042,-11.18
E07000043,-19.78
E07000044,-0.35
E07000045,-11.11
E07000046,-15.53
E07000047,-9.09
E10000009,-2.51
E07000048,7.77
E07000049,4.87
E07000050,-11.90
E07000051,-12.06
E07000052,-2.54
E07000053,-7.44
E10000013,-0.94
E07000078,7.62
E07000079,-4.32
E07000080,-3.51
E07000081,-9.27
E07000082,-1.35
E07000083,10.84
E10000027,-8.52
E07000187,-6.79
E07000188,-9.72
E07000189,-14.34
E07000190,-7.85
E07000191,11.44
E06000054,-2.34
W06000001,-14.90
W06000002,-8.81
W06000003,-2.80
W06000004,-19.99
W06000005,0.08
W06000006,-6.34
W06000023,-11.44
W06000008,-20.79
W06000009,-16.15
W06000010,-12.06
W06000011,-10.09
W06000012,-6.63
W06000013,-5.46
W06000014,0.35
W06000015,-3.66
W06000016,-9.71
W06000024,-20.27
W06000018,-11.39
W06000019,-16.89
W06000020,-9.60
W06000021,11.86
W06000022,-7.87
