LA,Oxbridge,TopThirdHEI,OtherHE,Work
Darlington,0,24,63,100
Durham,1,23,62,100
Gateshead,1,23,60,100
Hartlepool,0,22,66,100
Middlesbrough,0,17,68,100
Newcastle upon Tyne,1,19,60,100
North Tyneside,1,22,65,100
Northumberland,1,20,58,100
Redcar and Cleveland,0,21,61,100
South Tyneside,0,16,64,100
Stockton-on-Tees,2,32,75,100
Sunderland,0,22,71,100
Blackburn with Darwen,0,10,57,100
Blackpool,0,15,50,100
Bolton,1,22,60,100
Bury,0,0,41,100
Cheshire East,1,29,61,100
Cheshire West and Chester,1,26,62,100
Cumbria,2,27,60,100
Halton,0,10,53,100
Knowsley,0,6,45,100
Lancashire,2,31,65,100
Liverpool,1,20,58,100
Manchester,1,19,60,100
Oldham,2,34,76,100
Rochdale,0,7,51,100
Salford,0,0,25,100
Sefton,1,21,60,100
St. Helens,0,10,54,100
Stockport,0,0,0,100
Tameside,0,27,69,100
Trafford,3,48,75,100
Warrington,0,20,57,100
Wigan,0,25,69,100
Wirral,1,29,65,100
Barnsley,3,27,70,100
Bradford,0,13,64,100
Calderdale,1,18,66,100
Doncaster,0,13,58,100
East Riding of Yorkshire,1,18,62,100
Kingston upon Hull City of,0,8,54,100
Kirklees,1,17,69,100
Leeds,1,19,58,100
North East Lincolnshire,0,12,62,100
North Lincolnshire,0,10,53,100
North Yorkshire,2,31,61,100
Rotherham,0,17,67,100
Sheffield,2,32,62,100
Wakefield,0,13,56,100
York,2,33,64,100
Derby,1,25,64,100
Derbyshire,1,25,62,100
Leicester,0,21,71,100
Leicestershire,1,23,62,100
Lincolnshire,1,27,63,100
Northamptonshire,0,19,61,100
Nottingham,0,17,54,100
Nottinghamshire,1,23,59,100
Rutland,0,18,50,100
Birmingham,1,31,65,100
Coventry,0,17,64,100
Dudley,0,24,69,100
Herefordshire,0,18,46,100
Sandwell,0,16,59,100
Shropshire,0,18,58,100
Solihull,1,23,58,100
Staffordshire,0,20,58,100
Stoke-on-Trent,1,35,71,100
Telford and Wrekin,3,40,69,100
Walsall,0,24,69,100
Warwickshire,2,33,65,100
Wolverhampton,1,22,66,100
Worcestershire,0,20,58,100
Bedford,1,22,63,100
Cambridgeshire,0,17,52,100
Central Bedfordshire,1,22,58,100
Essex,2,28,60,100
Hertfordshire,1,34,65,100
Luton,0,19,75,100
Norfolk,1,25,54,100
Peterborough,2,23,66,100
Southend-on-Sea,2,40,65,100
Suffolk,1,24,54,100
Thurrock,0,20,47,100
Bracknell Forest,1,25,54,100
Brighton and Hove,1,15,35,100
Buckinghamshire,3,45,66,100
East Sussex,1,20,45,100
Hampshire,1,28,57,100
Isle of Wight,0,20,51,100
Kent,1,28,54,100
Medway,1,28,58,100
Milton Keynes,1,23,61,100
Oxfordshire,2,26,51,100
Portsmouth,0,0,0,100
Reading,7,53,71,100
Slough,1,38,71,100
Southampton,0,25,52,100
Surrey,2,32,60,100
West Berkshire,1,26,56,100
West Sussex,0,22,48,100
Windsor and Maidenhead,1,27,56,100
Wokingham,0,27,58,100
Bath and North East Somerset,2,25,50,100
Bournemouth,2,30,51,100
Bristol City of,1,19,41,100
Cornwall,1,12,46,100
Devon,1,19,47,100
Dorset,1,20,45,100
Gloucestershire,2,30,57,100
Isles of Scilly,0,0,0,100
North Somerset,2,23,52,100
Plymouth,1,17,51,100
Poole,1,28,54,100
Somerset,2,23,48,100
South Gloucestershire,1,17,49,100
Swindon,0,11,43,100
Torbay,2,32,57,100
Wiltshire,2,28,57,100
Camden,1,25,59,100
City of London,0,0,0,100
Hackney,1,29,66,100
Hammersmith and Fulham,2,33,68,100
Haringey,1,25,59,100
Islington,0,21,63,100
Kensington and Chelsea,5,65,81,100
Lambeth,0,20,65,100
Lewisham,1,24,56,100
Newham,1,37,78,100
Southwark,1,28,60,100
Tower Hamlets,1,29,71,100
Wandsworth,1,25,62,100
Westminster,1,29,62,100
Barking and Dagenham,0,23,68,100
Barnet,3,41,71,100
Bexley,1,33,63,100
Brent,2,37,74,100
Bromley,2,32,61,100
Croydon,0,19,59,100
Ealing,1,32,67,100
Enfield,2,30,68,100
Greenwich,0,17,58,100
Harrow,1,34,76,100
Havering,1,36,66,100
Hillingdon,0,24,62,100
Hounslow,0,28,66,100
Kingston upon Thames,4,42,67,100
Merton,0,20,60,100
Redbridge,1,36,73,100
Richmond upon Thames,0,0,29,100
Sutton,3,44,71,100
Waltham Forest,1,28,67,100
Isle of Anglesey,1,26,36,100
Gwynedd,1,30,40,100
Conwy,1,27,37,100
Denbighshire,1,23,32,100
Flintshire,1,24,33,100
Wrexham,1,17,23,100
Powys,1,28,38,100
Ceredigion,1,24,33,100
Pembrokeshire,1,24,33,100
Carmarthenshire,1,29,39,100
Swansea,1,25,34,100
Neath Port Talbot,1,20,27,100
Bridgend,1,27,36,100
The Vale of Glamorgan,1,26,35,100
Rhondda Cynon Taf,1,21,29,100
Merthyr Tydfil,0,0,0,100
Caerphilly,1,26,36,100
Blaenau Gwent,0,0,0,100
Torfaen,1,22,29,100
Monmouthshire,1,25,35,100
Newport,1,25,35,100
Cardiff,1,28,38,100
